Protein accession	Degree	Protein description	Gene name	Regulated Type	Ratio
A0A1L1RWR0	17	Transthyretin OS=Gallus gallus OX=9031 GN=LOC112531842 PE=3 SV=2	LOC112531842	Up	1.8175242422790825
A0A1I7Q422	17	Transthyretin OS=Gallus gallus OX=9031 GN=TTR PE=1 SV=1	TTR	Up	1.7769443313105977
A0A8V1A774	17	Inter-alpha-trypsin inhibitor heavy chain H3 OS=Gallus gallus OX=9031 GN=ITIH3 PE=1 SV=1	ITIH3	Up	2.0602919434338838
A0A8V0X6I8	17	Fructose-bisphosphate aldolase A OS=Gallus gallus OX=9031 GN=ALDOA PE=1 SV=1	ALDOA	Up	2.124562442053137
A0A8V1A0R9	17	Small nuclear ribonucleoprotein Sm D3 OS=Gallus gallus OX=9031 GN=SNRPD3 PE=1 SV=1	SNRPD3	Up	1.7465289241116386
A0A8V1AIR0	17	Fructose-bisphosphate aldolase OS=Gallus gallus OX=9031 GN=ALDOC PE=1 SV=1	ALDOC	Up	2.17017316779064
A0A1D5PPF8	17	Heat shock 70 kDa protein 4 OS=Gallus gallus OX=9031 GN=HSPA4 PE=1 SV=1	HSPA4	Up	1.8426287011245228
A0A8V1ABN7	17	Golgi reassembly stacking protein 1 OS=Gallus gallus OX=9031 GN=GORASP1 PE=1 SV=1	GORASP1	Up	2.703879486322978
A0A8V0ZBP0	16	Dynein light chain OS=Gallus gallus OX=9031 GN=DYL1 PE=1 SV=1	DYL1	Up	2.626839282323904
A0A1D5P2H5	16	Calmodulin 2 OS=Gallus gallus OX=9031 GN=CALM2 PE=4 SV=2	CALM2	Up	2.2694768341760394
A0A8V0ZZN4	16	Apolipoprotein A-IV OS=Gallus gallus OX=9031 GN=APOA4 PE=1 SV=1	APOA4	Up	2.78388664369127
A0A8V0Y8S2	16	Enoyl-CoA delta isomerase 2 OS=Gallus gallus OX=9031 GN=ECI2 PE=1 SV=1	ECI2	Up	2.7297226022317083
E1BTT8	16	L-lactate dehydrogenase OS=Gallus gallus OX=9031 GN=LDHA PE=1 SV=2	LDHA	Up	2.5765555103700697
F1NEF6	16	Acyl-CoA dehydrogenase family member 9 OS=Gallus gallus OX=9031 GN=ACAD9 PE=1 SV=3	ACAD9	Up	2.1927524449250537
A0A8V1A7R0	16	Signal transducer and activator of transcription OS=Gallus gallus OX=9031 GN=STAT3 PE=3 SV=1	STAT3	Down	0.3943911740452026
A0A8V0Z4M1	16	Vascular endothelial growth factor A OS=Gallus gallus OX=9031 GN=VEGFA PE=3 SV=1	VEGFA	Down	0.6302827809001195
A0A8V0XIM8	16	3-hydroxyacyl-CoA dehydrogenase OS=Gallus gallus OX=9031 GN=HADH PE=1 SV=1	HADH	Up	3.794545582697304
A0A8V0XJW7	16	Dynactin subunit 1 OS=Gallus gallus OX=9031 GN=DCTN1 PE=3 SV=1	DCTN1	Up	5.986484176944768
A0A8V1AE58	15	RuvB-like helicase OS=Gallus gallus OX=9031 GN=RUVBL1 PE=1 SV=1	RUVBL1	Up	2.009372311409691
A0A8V0XZ63	15	RNA helicase OS=Gallus gallus OX=9031 GN=DHX15 PE=1 SV=1	DHX15	Up	1.5277892611433368
A0A8V0YBE2	15	deoxyribose-phosphate aldolase OS=Gallus gallus OX=9031 GN=DERA PE=1 SV=1	DERA	Up	1.7190686924522975
A0A8V1ABS2	15	Clathrin heavy chain OS=Gallus gallus OX=9031 GN=CLTC PE=1 SV=1	CLTC	Up	1.9333589858812323
A0A8V1A4P2	15	Phosphoglucomutase 1 OS=Gallus gallus OX=9031 GN=PGM1 PE=1 SV=1	PGM1	Down	0.4606404477747713
A0A1D5PC99	15	Electron transfer flavoprotein subunit alpha OS=Gallus gallus OX=9031 GN=ETFA PE=1 SV=1	ETFA	Up	8.14707011258956
A0A8V0YUR6	15	Serpin domain-containing protein OS=Gallus gallus OX=9031 GN=SPIA3 PE=1 SV=1	SPIA3	Up	2.7789115241910665
A0A8V0ZZT2	15	Apolipoprotein AI OS=Gallus gallus OX=9031 GN=APOA1 PE=1 SV=1	APOA1	Up	1.835841803887624
A0A8V0XHF1	15	Proteasome activator complex subunit 1 OS=Gallus gallus OX=9031 GN=PSME1 PE=3 SV=1	PSME1	Up	2.3204811682513
A0A8V0Z958	15	Dynein light intermediate chain OS=Gallus gallus OX=9031 GN=DYNC1LI1 PE=3 SV=1	DYNC1LI1	Up	2.2938691554083426
P14315	15	F-actin-capping protein subunit beta isoforms 1 and 2 OS=Gallus gallus OX=9031 GN=CAPZB PE=1 SV=3	CAPZB	Up	1.5829867632381662
A0A8V0YS93	15	Calnexin OS=Gallus gallus OX=9031 GN=CANX PE=1 SV=1	CANX	Up	1.8633251817964784
P28497	15	F-actin-capping protein subunit alpha-2 OS=Gallus gallus OX=9031 GN=CAPZA2 PE=1 SV=1	CAPZA2	Up	1.6885534652738703
A0A8V0YH08	15	histidine--tRNA ligase OS=Gallus gallus OX=9031 GN=HARS1 PE=1 SV=1	HARS1	Up	1.9690479953637847
Q5ZIA5	15	Coatomer subunit beta OS=Gallus gallus OX=9031 GN=COPB1 PE=2 SV=1	COPB1	Up	3.0317250745029987
A0A8V1AED9	15	T-complex protein 1 subunit zeta OS=Gallus gallus OX=9031 GN=SUMF2 PE=3 SV=1	SUMF2	Up	2.912377195731112
A0A3Q2U0S7	14	RNA helicase OS=Gallus gallus OX=9031 GN=DDX3X PE=1 SV=1	DDX3X	Up	2.213204353083434
A0A452J7Z2	14	Syndecan OS=Gallus gallus OX=9031 GN=SDC4 PE=3 SV=1	SDC4	Up	2.498334921791781
A0A8V0ZM20	14	Hexokinase-1 OS=Gallus gallus OX=9031 GN=HK1 PE=1 SV=1	HK1	Up	3.2619900456460016
A0A8V0X6Y3	14	Ribonuclease A-domain domain-containing protein OS=Gallus gallus OX=9031 PE=1 SV=1	--	Up	2.8044093986726546
E1C2C3	14	Splicing factor 3b subunit 1 OS=Gallus gallus OX=9031 GN=SF3B1 PE=1 SV=3	SF3B1	Up	1.9508051423807644
A0A8V0Y492	14	enoyl-CoA hydratase OS=Gallus gallus OX=9031 GN=HADHA PE=1 SV=1	HADHA	Up	4.147372830162183
A0A1D5PIQ5	14	mitogen-activated protein kinase OS=Gallus gallus OX=9031 GN=MAPK14 PE=1 SV=2	MAPK14	Up	2.12837583062896
A0A8V0YXU7	14	Voltage-dependent anion-selective channel protein 3 OS=Gallus gallus OX=9031 GN=VDAC3 PE=1 SV=1	VDAC3	Up	5.817218878371867
Q5F3B9	14	Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial OS=Gallus gallus OX=9031 GN=SUCLA2 PE=1 SV=1	SUCLA2	Up	6.130790777187097
A0A8V0Z8E9	14	Heat shock 70kDa protein 2 OS=Gallus gallus OX=9031 GN=HSPA2 PE=1 SV=1	HSPA2	Up	1.8433613999340783
A0A1D5PQV3	14	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial OS=Gallus gallus OX=9031 GN=DLST PE=1 SV=2	DLST	Up	6.105279783857082
A0A8V0XQ96	14	Inter-alpha-trypsin inhibitor heavy chain 2 OS=Gallus gallus OX=9031 GN=ITIH2 PE=1 SV=1	ITIH2	Up	2.438617098748637
A0A8V0ZHE8	14	Voltage-dependent anion-selective channel protein 2 OS=Gallus gallus OX=9031 GN=VDAC2 PE=1 SV=1	VDAC2	Up	4.6067271239374055
A0A8V0Z0Y0	14	Voltage-dependent anion-selective channel protein 1 OS=Gallus gallus OX=9031 GN=VDAC1 PE=1 SV=1	VDAC1	Up	2.982951792821356
A0A8V0XJ14	13	Albumin OS=Gallus gallus OX=9031 GN=ALB PE=1 SV=1	ALB	Up	1.8326567128906743
A0A8V0ZT56	13	Short-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Gallus gallus OX=9031 GN=ACADS PE=1 SV=1	ACADS	Up	2.342276473491057
A0A1D5NW68	13	Albumin OS=Gallus gallus OX=9031 GN=ALB PE=1 SV=2	ALB	Up	2.052283870758424
P18944	13	Cytochrome c oxidase subunit 2 OS=Gallus gallus OX=9031 GN=MT-CO2 PE=3 SV=1	MT-CO2	Up	9.335565190348133
A0A1D5P1W7	13	Karyopherin subunit beta 1 OS=Gallus gallus OX=9031 GN=KPNB1 PE=1 SV=2	KPNB1	Up	2.72821465624216
A0A1D5NT61	13	Glutamate dehydrogenase 1, mitochondrial OS=Gallus gallus OX=9031 GN=GLUD2 PE=1 SV=1	GLUD2	Up	3.93453702169952
P09244	13	Tubulin beta-7 chain OS=Gallus gallus OX=9031 PE=2 SV=1	--	Up	1.7377430207470048
A0A8V0ZHF5	13	Thrombospondin 1 OS=Gallus gallus OX=9031 GN=THBS1 PE=1 SV=1	THBS1	Up	1.5566806513546183
A0A8V0XE68	13	acetyl-CoA C-acetyltransferase OS=Gallus gallus OX=9031 GN=ACAT1 PE=1 SV=1	ACAT1	Up	6.6963872996627885
P53488	13	Actin-related protein 2 OS=Gallus gallus OX=9031 GN=ACTR2 PE=2 SV=1	ACTR2	Up	2.156686221171365
A0A8V1A7Y9	13	isoleucine--tRNA ligase OS=Gallus gallus OX=9031 GN=IARS PE=1 SV=1	IARS	Up	1.80429372851274
A0A8V0XY40	13	Arginine--tRNA ligase, cytoplasmic OS=Gallus gallus OX=9031 GN=RARS PE=1 SV=1	RARS	Up	3.232799738876819
A0A8V0ZEK6	13	Alanine--tRNA ligase OS=Gallus gallus OX=9031 GN=AARS1 PE=1 SV=1	AARS1	Up	1.9243526121086345
A0A8V1AEW4	13	Tubulin beta chain OS=Gallus gallus OX=9031 GN=TUBB4B PE=3 SV=1	TUBB4B	Up	1.538742554485424
A0A8V0ZHZ7	13	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 OS=Gallus gallus OX=9031 GN=RPN2 PE=1 SV=1	RPN2	Up	2.00896241791165
A0A8V0Y9K6	12	Solute carrier family 25 member 3 OS=Gallus gallus OX=9031 GN=SLC25A3 PE=1 SV=1	SLC25A3	Up	2.979005692126522
A0A1D5PQI1	12	Galectin 3 OS=Gallus gallus OX=9031 GN=LGALS3 PE=1 SV=3	LGALS3	Up	2.2041957119779627
A0A1D5NU82	12	Tubulin gamma chain OS=Gallus gallus OX=9031 GN=TUBG1 PE=1 SV=2	TUBG1	Up	2.641589596352961
A0A1D5P8H7	12	Exportin 1 OS=Gallus gallus OX=9031 GN=XPO1 PE=1 SV=1	XPO1	Up	2.3164431633036724
A0A8V1AAU9	12	Glycine--tRNA ligase OS=Gallus gallus OX=9031 PE=1 SV=1	--	Up	3.185956262578601
A0A8V0Y207	12	Aspartate--tRNA ligase, cytoplasmic OS=Gallus gallus OX=9031 GN=DARS PE=1 SV=1	DARS	Up	1.5567228628030474
A0A8V0ZWY9	12	phenylalanine--tRNA ligase OS=Gallus gallus OX=9031 GN=FARSB PE=1 SV=1	FARSB	Up	2.6799683402437116
A0A8V0YQC4	12	threonine--tRNA ligase OS=Gallus gallus OX=9031 GN=TARS PE=1 SV=1	TARS	Down	0.3978559425530355
A0A8V0X4H8	12	Proteasome assembly chaperone 2 OS=Gallus gallus OX=9031 GN=PSMG2 PE=1 SV=1	PSMG2	Up	2.414180301572024
E1BYF1	12	Cystathionine gamma-lyase OS=Gallus gallus OX=9031 GN=CTH PE=1 SV=1	CTH	Down	0.662473223306099
P13127	12	F-actin-capping protein subunit alpha-1 OS=Gallus gallus OX=9031 GN=CAPZA1 PE=1 SV=1	CAPZA1	Up	2.3345166196276854
A0A8V0XTL7	12	Heat shock protein 105 kDa OS=Gallus gallus OX=9031 GN=HSPH1 PE=1 SV=1	HSPH1	Up	1.5613199802988014
A0A8V0XW93	12	Heat shock protein family A (Hsp70) member 4 like OS=Gallus gallus OX=9031 GN=HSPA4L PE=1 SV=1	HSPA4L	Up	3.1019916011808233
E1C2Z5	12	Tryptophan--tRNA ligase, cytoplasmic OS=Gallus gallus OX=9031 GN=WARS PE=1 SV=3	WARS	Up	4.267437408827781
A0A8V0Z9Y8	12	AP-2 complex subunit mu OS=Gallus gallus OX=9031 GN=AP2M1 PE=1 SV=1	AP2M1	Down	0.5744604222668789
A0A8V0ZWH3	12	Acetyltransferase component of pyruvate dehydrogenase complex OS=Gallus gallus OX=9031 GN=DLAT PE=1 SV=1	DLAT	Up	5.629701630047497
Q5ZM47	12	Serine/threonine-protein phosphatase OS=Gallus gallus OX=9031 GN=PPP2CA PE=1 SV=1	PPP2CA	Up	2.0798417846342643
A0A1D5PIZ8	12	IQ motif containing GTPase activating protein 1 OS=Gallus gallus OX=9031 GN=IQGAP3 PE=1 SV=1	IQGAP3	Up	2.177569627683285
A0A8V0ZTG6	12	Vitamin K-dependent protein C OS=Gallus gallus OX=9031 GN=PROC PE=1 SV=1	PROC	Down	0.6132508807658575
A0A8V0X9K8	11	Aldehyde dehydrogenase 7 family member A1 OS=Gallus gallus OX=9031 GN=ALDH7A1 PE=1 SV=1	ALDH7A1	Up	2.743355102099421
Q5ZL57	11	Coatomer subunit delta OS=Gallus gallus OX=9031 GN=ARCN1 PE=2 SV=1	ARCN1	Up	2.7998730037781376
A0A8V0XHN0	11	ATP-dependent 6-phosphofructokinase OS=Gallus gallus OX=9031 GN=PFKP PE=1 SV=1	PFKP	Up	2.426238207735661
A0A8V0ZTG8	11	ATP-dependent 6-phosphofructokinase OS=Gallus gallus OX=9031 GN=PFKL PE=1 SV=1	PFKL	Up	1.508562036160781
A0A8V1ACV7	11	Outer dense fiber protein 2 OS=Gallus gallus OX=9031 GN=ODF2 PE=3 SV=1	ODF2	Up	3.0175610898096568
E1BSN7	11	Alpha-1,4 glucan phosphorylase OS=Gallus gallus OX=9031 GN=PYGB PE=1 SV=2	PYGB	Up	1.9946417288889355
A0A8V1A184	11	Complement component C8 beta chain OS=Gallus gallus OX=9031 GN=C8B PE=1 SV=1	C8B	Up	1.912916525256096
A0A8V0YD10	11	Polyadenylate-binding protein OS=Gallus gallus OX=9031 GN=PABPC1 PE=1 SV=1	PABPC1	Up	3.7971876498055863
Q5ZLN1	11	Phosphoglycerate mutase 1 OS=Gallus gallus OX=9031 GN=PGAM1 PE=1 SV=3	PGAM1	Up	4.331645849309194
A0A8V1AJS6	11	T-complex protein 1 subunit gamma OS=Gallus gallus OX=9031 GN=CCT3 PE=1 SV=1	CCT3	Up	2.7935280275099545
A0A8V0XVT5	11	methylmalonate-semialdehyde dehydrogenase (CoA acylating) OS=Gallus gallus OX=9031 GN=ALDH6A1 PE=1 SV=1	ALDH6A1	Up	10.108511333997427
A0A8V0ZHY3	11	thioredoxin-disulfide reductase OS=Gallus gallus OX=9031 GN=TXNRD3 PE=1 SV=1	TXNRD3	Up	2.2730366564971853
A0A8V0YB71	11	Trifunctional enzyme subunit beta, mitochondrial OS=Gallus gallus OX=9031 GN=HADHB PE=1 SV=1	HADHB	Up	4.3297601281257965
A0A8V1AHK4	11	14-3-3 protein epsilon OS=Gallus gallus OX=9031 GN=YWHAE PE=1 SV=1	YWHAE	Up	1.9883418858242459
A0A1D5P624	11	Ubiquilin 4 OS=Gallus gallus OX=9031 GN=UBQLN4 PE=1 SV=1	UBQLN4	Up	2.1554921090968864
A0A8V1A960	11	Coatomer subunit beta' OS=Gallus gallus OX=9031 GN=COPB2 PE=1 SV=1	COPB2	Up	3.1135747034868504
A0A8V1AGP0	11	Beta-2-glycoprotein 1 OS=Gallus gallus OX=9031 GN=APOH PE=1 SV=1	APOH	Up	1.8940659390494616
A0A8V0Z7B5	11	Protein transport protein SEC23 OS=Gallus gallus OX=9031 GN=SEC23B PE=1 SV=1	SEC23B	Up	2.543532844733985
A0A8V1A1U8	11	CAP-Gly domain containing linker protein 1 OS=Gallus gallus OX=9031 GN=CLIP1 PE=4 SV=1	CLIP1	Up	1.8125743027467764
A0A1D5P8I7	11	Isocitrate dehydrogenase [NADP] OS=Gallus gallus OX=9031 GN=IDH2 PE=1 SV=2	IDH2	Up	1.7699944888172343
A0A8V0ZH29	10	Eukaryotic translation initiation factor 4 gamma 2 OS=Gallus gallus OX=9031 GN=EIF4G2 PE=1 SV=1	EIF4G2	Up	1.6631701483584498
A0A8V0XTR4	10	Catenin alpha-1 OS=Gallus gallus OX=9031 GN=CTNNA1 PE=1 SV=1	CTNNA1	Up	2.7740271111180603
A0A8V0YR31	10	Centrosomal protein 135 OS=Gallus gallus OX=9031 GN=CEP135 PE=1 SV=1	CEP135	Up	2.029795457082264
P62801	10	Histone H4 OS=Gallus gallus OX=9031 GN=H4-I PE=1 SV=2	H4-I	Up	2.4766484929534
A0A8V0X8L8	10	Complement C3 OS=Gallus gallus OX=9031 PE=1 SV=1	--	Up	1.7009519541013147
A0A8V0X3M7	10	Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial OS=Gallus gallus OX=9031 GN=ACADSB PE=1 SV=1	ACADSB	Up	2.5871596204592673
A0A8V1AHP5	10	Myosin, heavy chain 10, non-muscle OS=Gallus gallus OX=9031 GN=MYH10 PE=1 SV=1	MYH10	Up	1.8943383690026572
A0A8V0XM02	10	Sec1 family domain containing 1 OS=Gallus gallus OX=9031 GN=SCFD1 PE=1 SV=1	SCFD1	Up	3.3677886539021937
A0A8V0ZBC9	10	V-type proton ATPase subunit D OS=Gallus gallus OX=9031 GN=ATP6V1D PE=1 SV=1	ATP6V1D	Up	1.8534412202380957
Q5ZLG1	10	Ras-related protein Rab-18 OS=Gallus gallus OX=9031 GN=RAB18 PE=2 SV=1	RAB18	Up	2.1211398566151862
A0A1D5PP57	10	Vacuolar proton pump subunit B OS=Gallus gallus OX=9031 GN=ATP6V1B2 PE=1 SV=2	ATP6V1B2	Up	2.041775076631777
A0A8V0ZSX6	10	non-specific serine/threonine protein kinase OS=Gallus gallus OX=9031 GN=EIF2AK4 PE=1 SV=1	EIF2AK4	Down	0.522973682601076
A0A8V1A7D7	10	serine--tRNA ligase OS=Gallus gallus OX=9031 GN=SARS1 PE=1 SV=1	SARS1	Up	2.9394717096034015
A0A8V0YYX3	10	Enoyl-CoA delta isomerase 1 OS=Gallus gallus OX=9031 GN=ECI1 PE=1 SV=1	ECI1	Up	3.2657449896296646
A0A8V1A3U0	10	Actin-related protein 2/3 complex subunit 3 OS=Gallus gallus OX=9031 GN=ARPC3 PE=1 SV=1	ARPC3	Up	2.614214213451356
A0A8V0ZBX0	10	Junction plakoglobin OS=Gallus gallus OX=9031 GN=JUP PE=1 SV=1	JUP	Up	2.483063058251469
A0A8V0Z9Y2	10	Small nuclear ribonucleoprotein polypeptide B2 OS=Gallus gallus OX=9031 GN=SNRPB2 PE=1 SV=1	SNRPB2	Up	1.9430814382686044
A0A8V0ZAI6	9	Alpha-1,4 glucan phosphorylase OS=Gallus gallus OX=9031 GN=PYGL PE=1 SV=1	PYGL	Up	1.816668319395322
Q5ZLQ6	9	14-3-3 protein beta/alpha OS=Gallus gallus OX=9031 GN=YWHAB PE=2 SV=1	YWHAB	Up	2.444577330524377
A0A8V0XGQ4	9	Histone H2A OS=Gallus gallus OX=9031 GN=H2AFZ PE=3 SV=1	H2AFZ	Up	1.8422175754893368
A0A8V0YJ41	9	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta OS=Gallus gallus OX=9031 GN=YWHAZ PE=1 SV=1	YWHAZ	Up	1.9245561340275
E1BS97	9	non-specific serine/threonine protein kinase OS=Gallus gallus OX=9031 GN=PAK2 PE=1 SV=1	PAK2	Up	2.6367801281362966
A0A8V0ZMT8	9	DnaJ heat shock protein family (Hsp40) member A2 OS=Gallus gallus OX=9031 GN=DNAJA2 PE=1 SV=1	DNAJA2	Up	1.7133992817820394
A0A8V0YG12	9	Ran GTPase activating protein 1 OS=Gallus gallus OX=9031 GN=RANGAP1 PE=1 SV=1	RANGAP1	Up	2.452977509314387
A0A8V0XP09	9	Importin 5 OS=Gallus gallus OX=9031 GN=IPO5 PE=1 SV=1	IPO5	Up	3.780286781991365
A0A3Q2UAA1	9	DnaJ heat shock protein family (Hsp40) member B1 OS=Gallus gallus OX=9031 GN=DNAJB1 PE=4 SV=1	DNAJB1	Up	1.9882831795459488
A0A8V0Z1D6	9	protein deglycase OS=Gallus gallus OX=9031 GN=PARK7 PE=1 SV=1	PARK7	Up	2.169373588974627
A0A8V0YCC2	9	Nuclear distribution C, dynein complex regulator OS=Gallus gallus OX=9031 GN=NUDC PE=4 SV=1	NUDC	Up	1.9559391584985395
A0A8V1A9W4	9	Coatomer subunit alpha OS=Gallus gallus OX=9031 GN=COPA PE=1 SV=1	COPA	Up	2.2309314528257738
A0A1D5PCU0	9	V-type proton ATPase subunit a OS=Gallus gallus OX=9031 GN=ATP6V0A4 PE=3 SV=1	ATP6V0A4	Down	0.4675628786022203
A0A8V1ABY0	9	Polypyrimidine tract-binding protein 1 OS=Gallus gallus OX=9031 GN=PTBP1 PE=1 SV=1	PTBP1	Up	1.8825220559774705
Q5ZMV5	8	Actin-related protein 2/3 complex subunit 5 OS=Gallus gallus OX=9031 GN=ARPC5 PE=1 SV=1	ARPC5	Up	1.6816692890459206
A0A8V0Y4M6	8	Long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Gallus gallus OX=9031 GN=ACADL PE=1 SV=1	ACADL	Up	1.6139031726011452
A0A1D5P655	8	Cytoplasmic FMR1-interacting protein OS=Gallus gallus OX=9031 GN=CYFIP1 PE=1 SV=2	CYFIP1	Down	0.6143153160687238
A0A8V1ACR8	8	Coatomer subunit epsilon OS=Gallus gallus OX=9031 GN=COPE PE=3 SV=1	COPE	Up	5.2107555733525865
P11602	8	Lipoprotein lipase OS=Gallus gallus OX=9031 GN=LPL PE=1 SV=1	LPL	Down	0.3709123413976047
A0A8V0Y879	8	Transportin 1 OS=Gallus gallus OX=9031 GN=TNPO1 PE=1 SV=1	TNPO1	Up	2.074156601191695
A0A8V1A3D8	8	Coatomer subunit gamma OS=Gallus gallus OX=9031 GN=COPG1 PE=1 SV=1	COPG1	Up	3.0706251090618664
Q5ZKR9	8	ADP-ribosylation factor OS=Gallus gallus OX=9031 GN=ARF4 PE=1 SV=1	ARF4	Up	2.281635542317876
A0A1D5PNL3	8	E2 ubiquitin-conjugating enzyme OS=Gallus gallus OX=9031 GN=UBE2N PE=1 SV=1	UBE2N	Down	0.640308495501657
Q5ZLC7	8	Microtubule-associated protein RP/EB family member 1 OS=Gallus gallus OX=9031 GN=MAPRE1 PE=2 SV=1	MAPRE1	Up	2.5124254516944595
A0A8V0Z083	8	Elongation factor like GTPase 1 OS=Gallus gallus OX=9031 GN=EFL1 PE=1 SV=1	EFL1	Up	1.7266348423051283
A0A8V1AC34	8	Adenylate kinase isoenzyme 1 OS=Gallus gallus OX=9031 GN=AK1 PE=1 SV=1	AK1	Up	2.2014441448139883
A0A8V0XHV8	8	COP9 signalosome complex subunit 4 OS=Gallus gallus OX=9031 GN=COPS4 PE=1 SV=1	COPS4	Up	2.4761651781042766
A0A8V1AM71	8	Complement C5 OS=Gallus gallus OX=9031 GN=C5 PE=1 SV=1	C5	Down	0.5672459893048128
A0A8V0YFD4	8	E2 ubiquitin-conjugating enzyme OS=Gallus gallus OX=9031 GN=UBE2D2 PE=3 SV=1	UBE2D2	Down	0.6016951336703473
A0A8V0YSI0	8	F5/8 type C domain-containing protein OS=Gallus gallus OX=9031 PE=4 SV=1	--	Down	0.6356989989958152
A0A8V0ZZ99	8	Annexin OS=Gallus gallus OX=9031 GN=ANXA2 PE=1 SV=1	ANXA2	Up	1.9067916320179528
A0A8V0YXL9	8	Matrix metalloproteinase-9 OS=Gallus gallus OX=9031 GN=MMP9 PE=1 SV=1	MMP9	Up	1.5009680263763228
Q5F3M8	8	Succinyl-CoA:3-ketoacid-coenzyme A transferase OS=Gallus gallus OX=9031 GN=OXCT1 PE=1 SV=1	OXCT1	Up	3.771180567294364
A0A8V0X2C5	8	Neutral alpha-glucosidase AB OS=Gallus gallus OX=9031 PE=4 SV=1	--	Down	0.4492603155244484
A0A8V0XW03	8	t-SNARE coiled-coil homology domain-containing protein OS=Gallus gallus OX=9031 PE=1 SV=1	--	Up	2.6561047498300008
A0A8V0ZCN4	8	GCN1 activator of EIF2AK4 OS=Gallus gallus OX=9031 GN=GCN1 PE=1 SV=1	GCN1	Up	2.99658364369514
A0A8V0ZI24	8	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit OS=Gallus gallus OX=9031 GN=DDOST PE=1 SV=1	DDOST	Up	1.8710618053768808
Q5ZJ58	8	Phosphatidylinositol 4-phosphate 5-kinase type-1 beta OS=Gallus gallus OX=9031 GN=PIP5K1B PE=2 SV=1	PIP5K1B	Down	0.5586696742922238
E1BW98	8	G protein subunit beta 4 OS=Gallus gallus OX=9031 GN=GNB4 PE=1 SV=2	GNB4	Up	1.5220190533509657
O57579	8	Aminopeptidase Ey OS=Gallus gallus OX=9031 GN=ANPEP PE=1 SV=2	ANPEP	Up	2.551820497452802
A0A1L1RWX8	8	Vacuolar protein sorting-associated protein 35 OS=Gallus gallus OX=9031 GN=VPS35 PE=1 SV=2	VPS35	Up	1.6359239865569817
A0A8V0YUR4	8	Small nuclear ribonucleoprotein-associated protein OS=Gallus gallus OX=9031 GN=SNRPN PE=1 SV=1	SNRPN	Up	3.9233879882749814
Q90WD0	8	Actin-related protein 3 OS=Gallus gallus OX=9031 GN=ACTR3 PE=2 SV=1	ACTR3	Up	2.0022899838036223
A0A8V0Y5A6	8	Alpha-actinin-4 OS=Gallus gallus OX=9031 GN=ACTN4 PE=1 SV=1	ACTN4	Up	2.388846615443624
A0A1D5PLZ2	8	Serpin family D member 1 OS=Gallus gallus OX=9031 GN=SERPIND1 PE=1 SV=1	SERPIND1	Up	2.409394394915834
F1NBW2	8	H(+)-transporting two-sector ATPase OS=Gallus gallus OX=9031 GN=ATP6V1A PE=1 SV=1	ATP6V1A	Up	1.8569794987565569
A0A8V0ZD41	8	Alpha-actinin-1 OS=Gallus gallus OX=9031 GN=ACTN1 PE=1 SV=1	ACTN1	Up	2.639682137183685
A0A8V0XCX4	8	phosphoinositide 5-phosphatase OS=Gallus gallus OX=9031 GN=SYNJ2 PE=1 SV=1	SYNJ2	Down	0.5381161154409421
A0A1L1RZR2	8	DnaJ homolog subfamily A member 1 OS=Gallus gallus OX=9031 GN=DNAJA1 PE=1 SV=2	DNAJA1	Up	2.2844064744087
A0A8V1AKL9	8	Aldehyde dehydrogenase OS=Gallus gallus OX=9031 GN=ALDH3A2 PE=1 SV=1	ALDH3A2	Up	1.7234087142067862
A0A8V0ZZC5	7	Uncharacterized protein OS=Gallus gallus OX=9031 PE=1 SV=1	--	Up	2.5368540558745405
F1NAC8	7	Small nuclear ribonucleoprotein A' OS=Gallus gallus OX=9031 GN=SNRPA1 PE=1 SV=1	SNRPA1	Up	2.8945035345861307
A0A8V1AEL1	7	Calcium homeostasis endoplasmic reticulum protein OS=Gallus gallus OX=9031 GN=CHERP PE=1 SV=1	CHERP	Up	1.9716878460155316
A0A8V0ZYM1	7	1-phosphatidylinositol 4-kinase OS=Gallus gallus OX=9031 GN=PI4KA PE=1 SV=1	PI4KA	Down	0.4676986455686255
A0A8V0ZQN3	7	Serine/threonine-protein phosphatase OS=Gallus gallus OX=9031 GN=PPP1CA PE=3 SV=1	PPP1CA	Up	1.7157374155165876
A0A8V1AIF1	7	AP-1 complex subunit mu-1 OS=Gallus gallus OX=9031 GN=AP1M1 PE=1 SV=1	AP1M1	Up	1.6446355361459268
A0A8V0YFT7	7	Signal transducer and activator of transcription OS=Gallus gallus OX=9031 GN=STAT1 PE=1 SV=1	STAT1	Up	1.5569855483335635
A0A3Q2U7H6	7	Prostaglandin E synthase 3 OS=Gallus gallus OX=9031 GN=PTGES3 PE=3 SV=1	PTGES3	Up	1.891762880754199
