Protein accession	Degree	Protein description	Gene name	Regulated Type	Ratio
A0A1D5NT61	18	Glutamate dehydrogenase 1, mitochondrial OS=Gallus gallus OX=9031 GN=GLUD2 PE=1 SV=1	GLUD2	Up	6.549764622314775
A0A8V0X5J4	18	Superoxide dismutase [Cu-Zn] OS=Gallus gallus OX=9031 GN=CCS PE=3 SV=1	CCS	Up	2.6637599678733292
A0A1D5NZT1	18	Intraflagellar transport 80 OS=Gallus gallus OX=9031 GN=IFT80 PE=1 SV=2	IFT80	Down	0.4131688358374316
P18944	18	Cytochrome c oxidase subunit 2 OS=Gallus gallus OX=9031 GN=MT-CO2 PE=3 SV=1	MT-CO2	Up	5.580879055982677
Q5ZIA5	18	Coatomer subunit beta OS=Gallus gallus OX=9031 GN=COPB1 PE=2 SV=1	COPB1	Up	1.8718615202586248
A0A8V1ADP5	18	Intraflagellar transport 20 OS=Gallus gallus OX=9031 GN=IFT20 PE=1 SV=1	IFT20	Down	0.6096047872441154
Q5ZMG9	18	T-complex protein 1 subunit alpha OS=Gallus gallus OX=9031 GN=TCP1 PE=1 SV=1	TCP1	Up	2.8847141433225727
A0A8V1ABN7	18	Golgi reassembly stacking protein 1 OS=Gallus gallus OX=9031 GN=GORASP1 PE=1 SV=1	GORASP1	Up	1.7662309718126743
A0A160F7C1	18	Corticosteroid binding globulin OS=Gallus gallus OX=9031 GN=SPIA4 PE=1 SV=1	SPIA4	Up	1.635193833386431
A0A8V0ZT56	18	Short-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Gallus gallus OX=9031 GN=ACADS PE=1 SV=1	ACADS	Up	1.9076130641659352
A0A8V0XG62	18	COP9 signalosome subunit 5 OS=Gallus gallus OX=9031 GN=COPS5 PE=1 SV=1	COPS5	Up	1.7885461939676923
A0A1D5PL38	17	Delta-1-pyrroline-5-carboxylate synthase OS=Gallus gallus OX=9031 GN=ALDH18A1 PE=1 SV=2	ALDH18A1	Up	3.808264635805624
A0A8V0YR19	17	10 kDa heat shock protein, mitochondrial OS=Gallus gallus OX=9031 GN=HSPE1 PE=1 SV=1	HSPE1	Up	1.7277291411716715
F1NUX4	17	Serine/threonine-protein kinase TOR OS=Gallus gallus OX=9031 GN=MTOR PE=1 SV=2	MTOR	Down	0.1566371173034321
A0A8V0XE68	17	acetyl-CoA C-acetyltransferase OS=Gallus gallus OX=9031 GN=ACAT1 PE=1 SV=1	ACAT1	Up	2.9048761746662444
A0A8V0YEQ1	17	WD repeat domain 19 OS=Gallus gallus OX=9031 GN=WDR19 PE=1 SV=1	WDR19	Down	0.5146145371867895
Q5ZJW4	17	Vesicle-trafficking protein SEC22b OS=Gallus gallus OX=9031 GN=SEC22B PE=2 SV=1	SEC22B	Up	4.2226118274067685
A0A8V0Z8U4	17	Ras-related C3 botulinum toxin substrate 1 OS=Gallus gallus OX=9031 GN=RAC1 PE=1 SV=1	RAC1	Down	0.609637907775325
A0A8V0YUC6	17	Coagulation factor IX OS=Gallus gallus OX=9031 GN=F9 PE=1 SV=1	F9	Up	5.084919777311776
A0A8V0YUT8	17	Alpha 2-HS glycoprotein OS=Gallus gallus OX=9031 GN=AHSG PE=1 SV=1	AHSG	Up	3.2402289427106883
A0A8V0YC20	16	Adenylosuccinate lyase OS=Gallus gallus OX=9031 GN=ADSL PE=1 SV=1	ADSL	Up	3.3533365733298437
A0A8V0XK64	16	UV excision repair protein RAD23 OS=Gallus gallus OX=9031 GN=RAD23A PE=1 SV=1	RAD23A	Down	0.3790917334745728
A0A8V0XVT5	16	methylmalonate-semialdehyde dehydrogenase (CoA acylating) OS=Gallus gallus OX=9031 GN=ALDH6A1 PE=1 SV=1	ALDH6A1	Up	3.492381252627154
Q5ZL72	16	60 kDa heat shock protein, mitochondrial OS=Gallus gallus OX=9031 GN=HSPD1 PE=1 SV=1	HSPD1	Up	2.371567666615085
A0A1D5PJB0	16	Intraflagellar transport 52 OS=Gallus gallus OX=9031 GN=IFT52 PE=1 SV=2	IFT52	Down	0.5864211473258018
A0A8V1AED9	16	T-complex protein 1 subunit zeta OS=Gallus gallus OX=9031 GN=SUMF2 PE=3 SV=1	SUMF2	Up	2.3231207600765726
A0A8V0YVT3	16	Kinesin-like protein OS=Gallus gallus OX=9031 GN=KIF3A PE=1 SV=1	KIF3A	Down	0.513031027236392
A0A8V0XCT6	16	Vitamin D-binding protein OS=Gallus gallus OX=9031 GN=GC PE=1 SV=1	GC	Up	2.3887681222937083
A0A8V0ZAK3	16	Succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial OS=Gallus gallus OX=9031 GN=SUCLG2 PE=1 SV=1	SUCLG2	Up	3.8922958025175807
A0A8V0Y722	15	Intraflagellar transport protein 56 OS=Gallus gallus OX=9031 GN=TTC26 PE=3 SV=1	TTC26	Down	0.3905708489071358
A0A8V0Y2J9	15	Dynactin subunit 3 OS=Gallus gallus OX=9031 GN=DCTN3 PE=1 SV=1	DCTN3	Up	2.3610274608109645
A0A8V0YXI5	15	Clusterin associated protein 1 OS=Gallus gallus OX=9031 GN=CLUAP1 PE=3 SV=1	CLUAP1	Down	0.6017108873520975
A0A8V0XK27	15	Cytoplasmic dynein 2 heavy chain 1 OS=Gallus gallus OX=9031 GN=DYNC2H1 PE=1 SV=1	DYNC2H1	Down	0.19197824432044872
A0A8V0Z7B5	15	Protein transport protein SEC23 OS=Gallus gallus OX=9031 GN=SEC23B PE=1 SV=1	SEC23B	Up	1.6963869490244354
A0A8V1A7Y9	15	isoleucine--tRNA ligase OS=Gallus gallus OX=9031 GN=IARS PE=1 SV=1	IARS	Up	5.1403100124199455
A0A8V0YS27	15	Fibrinogen beta chain OS=Gallus gallus OX=9031 GN=FGB PE=4 SV=1	FGB	Up	2.4276390450118055
F1NAQ8	15	GMP synthase (glutamine-hydrolyzing) OS=Gallus gallus OX=9031 GN=GMPS PE=1 SV=3	GMPS	Up	5.116797239991374
A0A8V0XAF8	15	WD repeat-containing protein 35 OS=Gallus gallus OX=9031 GN=WDR35 PE=1 SV=1	WDR35	Down	0.6296291155019669
A0A8V0ZJW3	15	Alpha-2-macroglobulin-like protein 1 OS=Gallus gallus OX=9031 GN=A2ML2 PE=1 SV=1	A2ML2	Up	2.2615662018122475
A0A1D5PQD0	15	Intraflagellar transport protein 122 homolog OS=Gallus gallus OX=9031 GN=IFT122 PE=1 SV=2	IFT122	Down	0.5173626834338885
A0A8V0X9K8	15	Aldehyde dehydrogenase 7 family member A1 OS=Gallus gallus OX=9031 GN=ALDH7A1 PE=1 SV=1	ALDH7A1	Up	1.5614388743981418
A0A8V1ABS2	15	Clathrin heavy chain OS=Gallus gallus OX=9031 GN=CLTC PE=1 SV=1	CLTC	Up	1.7217540084398295
A0A8V0Z794	15	Alpha-centractin OS=Gallus gallus OX=9031 GN=ACTR1A PE=1 SV=1	ACTR1A	Up	2.09474067341179
A0A1D5NYF8	14	Protein SEC13 homolog OS=Gallus gallus OX=9031 GN=SEC13 PE=1 SV=2	SEC13	Up	1.9827731372861084
A0A3Q2U0S7	14	RNA helicase OS=Gallus gallus OX=9031 GN=DDX3X PE=1 SV=1	DDX3X	Up	1.7488794535207748
A0A3Q3ACS4	14	Phosphatidylinositol 3-kinase regulatory subunit alpha OS=Gallus gallus OX=9031 GN=PIK3R1 PE=1 SV=1	PIK3R1	Down	0.5726021735738295
A0A1L1RWR0	14	Transthyretin OS=Gallus gallus OX=9031 GN=LOC112531842 PE=3 SV=2	LOC112531842	Up	1.559696978594709
Q5ZIE0	14	Eukaryotic translation initiation factor 5 OS=Gallus gallus OX=9031 GN=EIF5 PE=1 SV=1	EIF5	Up	2.7578227600277194
A0A8V0X3M7	14	Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial OS=Gallus gallus OX=9031 GN=ACADSB PE=1 SV=1	ACADSB	Up	2.5535255131444785
A0A1D5P3W0	14	Ras-related protein Rab-28 OS=Gallus gallus OX=9031 GN=RAB28 PE=3 SV=1	RAB28	Down	0.4677207388844902
A0A8V0YQR1	14	TRAF3 interacting protein 1 OS=Gallus gallus OX=9031 GN=TRAF3IP1 PE=1 SV=1	TRAF3IP1	Down	0.6392094870618099
E1BTT8	14	L-lactate dehydrogenase OS=Gallus gallus OX=9031 GN=LDHA PE=1 SV=2	LDHA	Up	1.5290378729944691
A0A8V1ABY0	13	Polypyrimidine tract-binding protein 1 OS=Gallus gallus OX=9031 GN=PTBP1 PE=1 SV=1	PTBP1	Up	2.3535059586780447
A0A8V0XYP5	13	Heterogeneous nuclear ribonucleoprotein U OS=Gallus gallus OX=9031 GN=HNRNPU PE=1 SV=1	HNRNPU	Up	2.3982117237138763
A0A8V1A4X0	13	2'-5' oligoadenylate synthase OS=Gallus gallus OX=9031 GN=OASL PE=1 SV=1	OASL	Down	0.44947059650814697
A0A8V0ZPQ4	13	Intraflagellar transport protein 46 homolog OS=Gallus gallus OX=9031 GN=IFT46 PE=1 SV=1	IFT46	Down	0.6508636089336165
A0A8V0XW93	13	Heat shock protein family A (Hsp70) member 4 like OS=Gallus gallus OX=9031 GN=HSPA4L PE=1 SV=1	HSPA4L	Up	1.850081089525812
P14315	13	F-actin-capping protein subunit beta isoforms 1 and 2 OS=Gallus gallus OX=9031 GN=CAPZB PE=1 SV=3	CAPZB	Up	1.543297728820305
A0A8V0ZHE8	13	Voltage-dependent anion-selective channel protein 2 OS=Gallus gallus OX=9031 GN=VDAC2 PE=1 SV=1	VDAC2	Up	2.9746829982680567
A0A8V1AFZ6	13	Heteroous nuclear ribonucleoprotein M OS=Gallus gallus OX=9031 GN=HNRNPM PE=1 SV=1	HNRNPM	Up	2.3478735297106756
A0A8V1A960	13	Coatomer subunit beta' OS=Gallus gallus OX=9031 GN=COPB2 PE=1 SV=1	COPB2	Up	2.5914286111716462
A0A8V0YBE2	13	deoxyribose-phosphate aldolase OS=Gallus gallus OX=9031 GN=DERA PE=1 SV=1	DERA	Up	3.355665977109473
A0A8V0X6Y3	13	Ribonuclease A-domain domain-containing protein OS=Gallus gallus OX=9031 PE=1 SV=1	--	Up	1.8235697977910124
A0A8V0XHY2	13	Propionyl-CoA carboxylase alpha chain, mitochondrial OS=Gallus gallus OX=9031 GN=PCCA PE=1 SV=1	PCCA	Up	2.6880901638690013
A0A8V0ZCN7	13	Uridine 5'-monophosphate synthase OS=Gallus gallus OX=9031 GN=UMPS PE=1 SV=1	UMPS	Up	2.0830153055075717
A0A8V0ZPJ9	13	Isocitrate dehydrogenase [NADP] OS=Gallus gallus OX=9031 GN=IDH1 PE=1 SV=1	IDH1	Down	0.5582220200010373
A0A1D5P8I7	13	Isocitrate dehydrogenase [NADP] OS=Gallus gallus OX=9031 GN=IDH2 PE=1 SV=2	IDH2	Up	1.9479296797204568
A0A8V1A4P2	12	Phosphoglucomutase 1 OS=Gallus gallus OX=9031 GN=PGM1 PE=1 SV=1	PGM1	Down	0.2368989304126076
A0A8V0XQ96	12	Inter-alpha-trypsin inhibitor heavy chain 2 OS=Gallus gallus OX=9031 GN=ITIH2 PE=1 SV=1	ITIH2	Up	2.201991553037714
A0A8V0YYX3	12	Enoyl-CoA delta isomerase 1 OS=Gallus gallus OX=9031 GN=ECI1 PE=1 SV=1	ECI1	Up	1.8086740338683016
A0A8V0XTL6	12	Matrin 3 OS=Gallus gallus OX=9031 GN=MATR3 PE=1 SV=1	MATR3	Up	1.7370935645093035
A0A8V0YH08	12	histidine--tRNA ligase OS=Gallus gallus OX=9031 GN=HARS1 PE=1 SV=1	HARS1	Up	1.7068319861168195
A0A8V1AJS6	12	T-complex protein 1 subunit gamma OS=Gallus gallus OX=9031 GN=CCT3 PE=1 SV=1	CCT3	Up	2.2260938605406984
E1C2Z5	12	Tryptophan--tRNA ligase, cytoplasmic OS=Gallus gallus OX=9031 GN=WARS PE=1 SV=3	WARS	Up	1.5744692509543436
A0A8V0Y9K6	12	Solute carrier family 25 member 3 OS=Gallus gallus OX=9031 GN=SLC25A3 PE=1 SV=1	SLC25A3	Up	4.164952303885716
Q5ZL57	12	Coatomer subunit delta OS=Gallus gallus OX=9031 GN=ARCN1 PE=2 SV=1	ARCN1	Up	2.9389009231179393
A0A8V0YXU7	12	Voltage-dependent anion-selective channel protein 3 OS=Gallus gallus OX=9031 GN=VDAC3 PE=1 SV=1	VDAC3	Up	3.285794023489036
A0A8V1A3D8	12	Coatomer subunit gamma OS=Gallus gallus OX=9031 GN=COPG1 PE=1 SV=1	COPG1	Up	1.7873782576932544
A0A8V0XM58	12	Bardet-Biedl syndrome 7 OS=Gallus gallus OX=9031 GN=BBS7 PE=4 SV=1	BBS7	Down	0.6106847184273274
A0A8V0YQC4	12	threonine--tRNA ligase OS=Gallus gallus OX=9031 GN=TARS PE=1 SV=1	TARS	Up	3.165596853989598
A0A8V0YB71	12	Trifunctional enzyme subunit beta, mitochondrial OS=Gallus gallus OX=9031 GN=HADHB PE=1 SV=1	HADHB	Up	2.056442690024779
A0A1D5PFB8	12	Dynactin subunit 2 OS=Gallus gallus OX=9031 GN=DCTN2 PE=1 SV=2	DCTN2	Up	2.2893885883737912
A0A8V0XM02	12	Sec1 family domain containing 1 OS=Gallus gallus OX=9031 GN=SCFD1 PE=1 SV=1	SCFD1	Up	6.073695475178425
A0A1D5NYK3	12	Glutaryl-CoA dehydrogenase, mitochondrial OS=Gallus gallus OX=9031 GN=GCDH PE=3 SV=2	GCDH	Up	1.7327147565196477
E1C8Y9	12	Serine and arginine rich splicing factor 3 OS=Gallus gallus OX=9031 GN=SRSF3 PE=1 SV=1	SRSF3	Up	2.145685905343115
A0A8V0ZHY3	12	thioredoxin-disulfide reductase OS=Gallus gallus OX=9031 GN=TXNRD3 PE=1 SV=1	TXNRD3	Up	1.5592605786112312
A0A1D5PH43	12	YKT6 v-SNARE homolog (S. cerevisiae) OS=Gallus gallus OX=9031 GN=YKT6 PE=1 SV=1	YKT6	Down	0.624577890986349
A0A1D5PH80	12	3-hydroxyisobutyrate dehydrogenase OS=Gallus gallus OX=9031 GN=HIBADH PE=1 SV=1	HIBADH	Down	0.21981583428689846
A0A8V0Z3U7	12	leucine--tRNA ligase OS=Gallus gallus OX=9031 GN=LARS PE=1 SV=1	LARS	Up	1.6558594371124185
A0A8V0YTH3	12	Conserved oligomeric Golgi complex subunit 7 OS=Gallus gallus OX=9031 GN=COG7 PE=1 SV=1	COG7	Up	3.2013842274269333
A0A8V1ACR8	11	Coatomer subunit epsilon OS=Gallus gallus OX=9031 GN=COPE PE=3 SV=1	COPE	Up	2.121292831791956
A0A8V0Y4M6	11	Long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Gallus gallus OX=9031 GN=ACADL PE=1 SV=1	ACADL	Up	3.403019883084802
A0A8V1AAU9	11	Glycine--tRNA ligase OS=Gallus gallus OX=9031 PE=1 SV=1	--	Up	3.0783230056383637
A0A8V0ZUG8	11	Bardet-Biedl syndrome 2 OS=Gallus gallus OX=9031 GN=BBS2 PE=4 SV=1	BBS2	Down	0.3661419499621911
A0A8V0XTR4	11	Catenin alpha-1 OS=Gallus gallus OX=9031 GN=CTNNA1 PE=1 SV=1	CTNNA1	Up	1.7332910001221151
A0A8V1AB68	11	Dynein light chain OS=Gallus gallus OX=9031 GN=DYNLL2 PE=1 SV=1	DYNLL2	Down	0.6242675588144126
A0A8V0Z4U2	11	Radial spoke head protein 9 homolog OS=Gallus gallus OX=9031 GN=RSPH9 PE=1 SV=1	RSPH9	Down	0.5410655902072417
A0A8V0XKU5	11	ADP ribosylation factor like GTPase 13B OS=Gallus gallus OX=9031 GN=ARL13B PE=4 SV=1	ARL13B	Down	0.6044521689840285
A0A8V0ZM20	11	Hexokinase-1 OS=Gallus gallus OX=9031 GN=HK1 PE=1 SV=1	HK1	Up	1.9952556293517785
A0A8V1ADY8	11	Protein AMBP OS=Gallus gallus OX=9031 GN=AMBP PE=1 SV=1	AMBP	Up	1.7974564402637685
A0A1D5PSI3	11	Heterogeneous nuclear ribonucleoprotein K OS=Gallus gallus OX=9031 GN=HNRNPKL PE=1 SV=2	HNRNPKL	Up	1.972285177346145
F1NVZ6	11	Dynein 2 intermediate chain 1 OS=Gallus gallus OX=9031 GN=WDR60 PE=4 SV=4	WDR60	Down	0.3406189012193693
A0A8V0Y986	11	Centrosomal protein 290 OS=Gallus gallus OX=9031 GN=CEP290 PE=1 SV=1	CEP290	Down	0.12029054009143075
A0A8V0ZYI9	11	Epidermal growth factor receptor pathway substrate 15 OS=Gallus gallus OX=9031 GN=EPS15 PE=1 SV=1	EPS15	Up	2.0472055438094072
P15120	11	Urokinase-type plasminogen activator OS=Gallus gallus OX=9031 GN=PLAU PE=2 SV=1	PLAU	Up	2.972975160166348
A0A8V0XJ14	11	Albumin OS=Gallus gallus OX=9031 GN=ALB PE=1 SV=1	ALB	Up	1.898796718960421
A0A1D5NW68	11	Albumin OS=Gallus gallus OX=9031 GN=ALB PE=1 SV=2	ALB	Up	2.0921279472137124
A0A8V1A9W4	11	Coatomer subunit alpha OS=Gallus gallus OX=9031 GN=COPA PE=1 SV=1	COPA	Up	2.3367698436592006
A0A8V1AD57	11	Conserved oligomeric Golgi complex subunit 1 OS=Gallus gallus OX=9031 GN=COG1 PE=1 SV=1	COG1	Down	0.3765105046768764
P28497	11	F-actin-capping protein subunit alpha-2 OS=Gallus gallus OX=9031 GN=CAPZA2 PE=1 SV=1	CAPZA2	Up	1.8043058873965483
A0A8V0ZT48	11	HYDIN, axonemal central pair apparatus protein OS=Gallus gallus OX=9031 GN=HYDIN PE=4 SV=1	HYDIN	Down	0.4111913684097949
A0A8V0XPN3	11	Ezrin OS=Gallus gallus OX=9031 GN=EZR PE=1 SV=1	EZR	Down	0.5291244998180162
A0A8V0YMA2	10	S-phase kinase-associated protein 1 OS=Gallus gallus OX=9031 GN=SKP1 PE=3 SV=1	SKP1	Down	0.4551801651235085
A0A8V0Z490	10	Coiled-coil domain-containing protein 39 OS=Gallus gallus OX=9031 GN=CCDC39 PE=1 SV=1	CCDC39	Down	0.5629041628536603
A0A8V0YPP2	10	Glutathione peroxidase OS=Gallus gallus OX=9031 GN=GPX3 PE=1 SV=1	GPX3	Down	0.5483248236732755
A0A8V1ALJ9	10	Coiled-coil domain containing 40 OS=Gallus gallus OX=9031 GN=CCDC40 PE=4 SV=1	CCDC40	Down	0.5542379786100982
A0A8V1A102	10	Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex OS=Gallus gallus OX=9031 GN=PDHX PE=1 SV=1	PDHX	Up	1.5986749892860106
A0A8V1AHP0	10	Hepatocyte growth factor-regulated tyrosine kinase substrate OS=Gallus gallus OX=9031 GN=HGS PE=1 SV=1	HGS	Up	1.8129263342865076
A0A8V0YD10	10	Polyadenylate-binding protein OS=Gallus gallus OX=9031 GN=PABPC1 PE=1 SV=1	PABPC1	Up	1.7896837683366666
A0A1D5NZL7	10	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase OS=Gallus gallus OX=9031 GN=PLCB1 PE=1 SV=1	PLCB1	Down	0.534340416963346
P13127	10	F-actin-capping protein subunit alpha-1 OS=Gallus gallus OX=9031 GN=CAPZA1 PE=1 SV=1	CAPZA1	Up	1.85879541359446
A0A8V0XD01	10	USO1 vesicle transport factor OS=Gallus gallus OX=9031 GN=USO1 PE=1 SV=1	USO1	Up	3.6972758107546486
A0A8V0Z083	10	Elongation factor like GTPase 1 OS=Gallus gallus OX=9031 GN=EFL1 PE=1 SV=1	EFL1	Down	0.5672034306399655
A0A8V0XLB9	10	Superoxide dismutase OS=Gallus gallus OX=9031 GN=SOD2 PE=1 SV=1	SOD2	Down	0.4798060275483782
A0A8V0YGA1	10	Heteroous nuclear ribonucleoprotein R OS=Gallus gallus OX=9031 GN=HNRNPR PE=1 SV=1	HNRNPR	Up	1.8079016971742392
A0A8V0Z9Y8	10	AP-2 complex subunit mu OS=Gallus gallus OX=9031 GN=AP2M1 PE=1 SV=1	AP2M1	Down	0.6169689155478318
Q5ZHV6	10	GrpE protein homolog OS=Gallus gallus OX=9031 GN=GRPEL1 PE=1 SV=1	GRPEL1	Up	1.6578908352373698
A0A8V0XC92	10	5'-nucleotidase OS=Gallus gallus OX=9031 GN=NT5E PE=3 SV=1	NT5E	Down	0.33751013618010217
A0A8V0YJ12	10	Heteroous nuclear ribonucleoprotein H1 OS=Gallus gallus OX=9031 GN=HNRNPH1 PE=1 SV=1	HNRNPH1	Up	3.1483986721763437
Q5F3M8	10	Succinyl-CoA:3-ketoacid-coenzyme A transferase OS=Gallus gallus OX=9031 GN=OXCT1 PE=1 SV=1	OXCT1	Up	2.5669272765974585
A0A8V1A7D7	10	serine--tRNA ligase OS=Gallus gallus OX=9031 GN=SARS1 PE=1 SV=1	SARS1	Up	1.9014908101586836
P53488	10	Actin-related protein 2 OS=Gallus gallus OX=9031 GN=ACTR2 PE=2 SV=1	ACTR2	Up	1.7781411566670675
Q5ZLN1	10	Phosphoglycerate mutase 1 OS=Gallus gallus OX=9031 GN=PGAM1 PE=1 SV=3	PGAM1	Up	2.5597211954799866
A0A8V1A6B5	9	Epidermal growth factor receptor substrate 15-like 1 OS=Gallus gallus OX=9031 GN=EPS15L1 PE=1 SV=1	EPS15L1	Up	2.0075618043419965
A0A1D5PIQ5	9	mitogen-activated protein kinase OS=Gallus gallus OX=9031 GN=MAPK14 PE=1 SV=2	MAPK14	Up	1.5264758560763243
A0A8V0ZQK2	9	Cysteine--tRNA ligase, cytoplasmic OS=Gallus gallus OX=9031 GN=CARS PE=3 SV=1	CARS	Up	2.1578660003701646
A0A1D5NU82	9	Tubulin gamma chain OS=Gallus gallus OX=9031 GN=TUBG1 PE=1 SV=2	TUBG1	Up	1.618962239501212
A0A1D5PZJ5	9	Ectonucleoside triphosphate diphosphohydrolase 1 OS=Gallus gallus OX=9031 GN=ENTPD1 PE=1 SV=1	ENTPD1	Up	2.0230197714748503
A0A8V0ZZU2	9	Vesicle-fusing ATPase OS=Gallus gallus OX=9031 GN=NSF PE=1 SV=1	NSF	Up	1.5093866292548954
A0A8V0XHV8	9	COP9 signalosome complex subunit 4 OS=Gallus gallus OX=9031 GN=COPS4 PE=1 SV=1	COPS4	Up	1.900858910869239
A0A8V0YFT7	9	Signal transducer and activator of transcription OS=Gallus gallus OX=9031 GN=STAT1 PE=1 SV=1	STAT1	Up	3.4036856554953228
A0A1D5PHU2	9	Syntaxin-binding protein 1 OS=Gallus gallus OX=9031 GN=STXBP1 PE=1 SV=2	STXBP1	Down	0.5225390251672508
A0A8V0Z6U6	9	ATPase F1/V1/A1 complex alpha/beta subunit nucleotide-binding domain-containing protein OS=Gallus gallus OX=9031 PE=3 SV=1	--	Down	0.5587868437641105
A0A1L1RWX8	9	Vacuolar protein sorting-associated protein 35 OS=Gallus gallus OX=9031 GN=VPS35 PE=1 SV=2	VPS35	Up	2.029529645376247
A0A3Q3AST7	9	Bardet-Biedl syndrome 9 OS=Gallus gallus OX=9031 GN=BBS9 PE=1 SV=1	BBS9	Down	0.5161894957234885
Q01406	9	Src substrate protein p85 OS=Gallus gallus OX=9031 GN=CTTN1 PE=1 SV=1	CTTN1	Up	2.401016794166997
E1C6P7	9	Sperm associated antigen 6 OS=Gallus gallus OX=9031 GN=SPAG6 PE=1 SV=3	SPAG6	Down	0.6312182764668219
A0A8V0ZIS3	9	Dynein regulatory complex subunit 2 OS=Gallus gallus OX=9031 GN=CCDC65 PE=1 SV=1	CCDC65	Down	0.39678970903215305
A0A8V0XLV1	9	Coatomer subunit gamma OS=Gallus gallus OX=9031 GN=COPG2 PE=1 SV=1	COPG2	Up	2.1301655888408777
A0A8V0ZWY9	9	phenylalanine--tRNA ligase OS=Gallus gallus OX=9031 GN=FARSB PE=1 SV=1	FARSB	Up	3.297579772493336
A0A1D5P1W7	9	Karyopherin subunit beta 1 OS=Gallus gallus OX=9031 GN=KPNB1 PE=1 SV=2	KPNB1	Up	2.6185356329319887
A0A8V0YID0	9	Coagulation factor VII OS=Gallus gallus OX=9031 GN=F7 PE=1 SV=1	F7	Down	0.3062340724055321
A0A8V0ZJE0	8	Glutathione S-transferase omega OS=Gallus gallus OX=9031 GN=GSTO2 PE=1 SV=1	GSTO2	Down	0.33586074417581296
A0A8V0ZTA0	8	Prohibitin-2 OS=Gallus gallus OX=9031 GN=PHB2 PE=3 SV=1	PHB2	Up	2.203664161414212
A0A8V0YQE8	8	DnaJ heat shock protein family (Hsp40) member A3 OS=Gallus gallus OX=9031 GN=DNAJA3 PE=1 SV=1	DNAJA3	Up	2.3574171715590437
A0A8V1A1T7	8	Ovomucin, alpha subunit OS=Gallus gallus OX=9031 GN=OVOA PE=1 SV=1	OVOA	Down	0.03172139812013726
A0A8V0YDH5	8	RIB43A domain with coiled-coils 2 OS=Gallus gallus OX=9031 GN=RIBC1 PE=1 SV=1	RIBC1	Down	0.619380248197964
E1BSN7	8	Alpha-1,4 glucan phosphorylase OS=Gallus gallus OX=9031 GN=PYGB PE=1 SV=2	PYGB	Up	1.805069513108141
A0A8V0X8L8	8	Complement C3 OS=Gallus gallus OX=9031 PE=1 SV=1	--	Up	1.7321561221424526
A0A8V0ZLV6	8	Sperm associated antigen 17 OS=Gallus gallus OX=9031 GN=SPAG17 PE=4 SV=1	SPAG17	Down	0.5880832332544046
A0A8V1ACV7	8	Outer dense fiber protein 2 OS=Gallus gallus OX=9031 GN=ODF2 PE=3 SV=1	ODF2	Down	0.5580788746970521
A0A8V0XGF5	8	NME/NM23 family member 7 OS=Gallus gallus OX=9031 GN=NME7 PE=1 SV=1	NME7	Down	0.48188043703189204
A0A8V0YLR6	8	Pericentriolar material 1 OS=Gallus gallus OX=9031 GN=PCM1 PE=4 SV=1	PCM1	Up	1.5061893390005041
A0A8V0XUH6	8	EF-hand domain containing 1 OS=Gallus gallus OX=9031 GN=EFHC1 PE=1 SV=1	EFHC1	Down	0.5477940576663634
A0A1L1RLC7	8	Oxidoreductase HTATIP2 OS=Gallus gallus OX=9031 GN=HTATIP2 PE=1 SV=1	HTATIP2	Down	0.3088149455774468
A0A1D5P0D3	8	Aminoacyl tRNA synthetase complex interacting multifunctional protein 1 OS=Gallus gallus OX=9031 GN=AIMP1 PE=1 SV=1	AIMP1	Up	3.3542846597896774
A0A8V1A3Y6	8	Cilia- and flagella-associated protein 91 OS=Gallus gallus OX=9031 GN=MAATS1 PE=1 SV=1	MAATS1	Down	0.5484612042434556
A0A8V0ZYM1	8	1-phosphatidylinositol 4-kinase OS=Gallus gallus OX=9031 GN=PI4KA PE=1 SV=1	PI4KA	Down	0.4433097017705048
A0A8V0XHN0	8	ATP-dependent 6-phosphofructokinase OS=Gallus gallus OX=9031 GN=PFKP PE=1 SV=1	PFKP	Up	1.945806392066577
A0A8V0XXP1	8	Signal transducing adaptor molecule OS=Gallus gallus OX=9031 GN=STAM PE=1 SV=1	STAM	Down	0.2870271083546081
A0A8V0ZT84	8	Kynurenine--oxoglutarate transaminase 3 OS=Gallus gallus OX=9031 GN=KYAT3 PE=1 SV=1	KYAT3	Up	2.578449416350532
A0A8V0XE48	8	non-specific serine/threonine protein kinase OS=Gallus gallus OX=9031 GN=ROCK2 PE=1 SV=1	ROCK2	Up	2.701392795980169
A0A8V1A7Y0	8	Interleukin enhancer binding factor 2 OS=Gallus gallus OX=9031 GN=ILF2 PE=1 SV=1	ILF2	Up	6.0570262101953976
A0A8V0ZHZ7	8	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 OS=Gallus gallus OX=9031 GN=RPN2 PE=1 SV=1	RPN2	Up	2.143066452036383
A0A1D5PIZ8	8	IQ motif containing GTPase activating protein 1 OS=Gallus gallus OX=9031 GN=IQGAP3 PE=1 SV=1	IQGAP3	Up	1.5698887170018463
